Control,DSS,LF82A,LF82A+DSS,LF82N,LF82N+DSS
15206.26,1876.865,18698.81,26688.88,1820.114,39748.7
19684.86,9198.927,16312.9,45248.82,766.673,25594.05
8228.248,45196.8,6875.682,9015.668,860.0757,23378.4
7203.183,9377.456,7008.101,28393.77,361.1397,21266.79
5717.016,13774.48,7297.768,37140.52,1621.485,33608.95
3485.992,16056.34,22468.02,57927.94,1422.856,27058.94
551.4289,5507.747,1128.352,48497.82,9596.184,18572.3
24835.81,1136.51,36416.23,33189.23,33856.79,32815.62
2335.811,824.1562,5627.187,49399.92,15965.18,28703.54
6537.443,,2516.464,24979.25,10363.78,29288.78
3681.965,,2353.294,58580.58,2839.308,13932.91
,,4355.625,26950.17,3496.65,17485.76
,,3110.869,11213.43,5758.888,12896.42
,,1797.35,1011.802,3647,31535.11
,,,36735.58,,41870.78
,,,16350.96,,5366.114
,,,47842.8,,3361.452
,,,16042.1,,29444.2
,,,45943.04,,28691.29
,,,38190.12,,48336.98
,,,14467.51,,56349.8
,,,,,33975.67
,,,,,25964.02
,,,,,33898.75
