Control,DSS,LF82A,LF82A+DSS,LF82N,LF82N+DSS
205.1394,239.0432,427.6666,287.7462,249.5372,949.139
236.3524,324.3408,246.8464,1161.441,356.6301,484.4419
187.6493,251.9503,205.6775,294.2041,275.3686,826.9777
224.782,340.9219,222.6294,279.4048,212.4045,640.776
883.484,495.2398,201.6414,385.6905,198.9506,526.149
230.3358,343.6866,265.1437,258.6858,161.8179,792.5358
315.286,343.9379,182.2678,332.4131,161.5488,879.1788
217.2665,287.1368,192.4927,612.2538,206.2079,752.7123
234.3571,357.2585,219.5285,363.0879,194.144,680.5995
228.0738,,221.0365,221.7905,209.9779,548.2133
237.1217,,203.6946,483.1758,197.6626,1104.935
,,211.2345,285.1262,207.2132,745.1781
,,195.1493,375.8571,204.6999,723.7006
,,252.7043,691.7814,223.8011,592.5052
,,,434.4174,285.1262,312.5214
,,,297.1901,,329.3606
,,,579.1847,,454.2726
,,,463.0693,,975.5353
,,,372.5897,,307.7461
,,,,,555.8108
,,,,,427.3801
,,,,,467.5932
,,,,,353.4885
,,,,,492.7264
