Control,DSS,LF82A,LF82A+DSS,LF82N,LF82N+DSS
9,9,8.8,7.5,7.5,7.2
9.3,8.8,10,9.5,9.3,6.5
9,9.2,10.1,9.4,9,7.5
8.6,9,9.7,9.6,9,8
8.6,8,9.4,8.5,8.5,7
9,8.7,9,9,7.5,6.8
8.7,6.8,10.2,8,8.2,6.8
9,8,9.3,8,8.5,7.5
8.2,7.4,9.5,6,9,7.1
9,6.2,8,6.3,8,7.4
9,7,8.6,7,8,7
10.1,7,8.7,7.2,8.3,6.3
9,7,9.1,6.3,7.9,7.1
9,8.5,9.8,7,8.6,6.5
7.5,8.5,8.5,7.2,8.5,6
7,6.5,8.5,7,10,6
7.5,7.5,8.5,7.4,8.6,6.5
,7.8,8,6.5,8.9,7.1
,6,7.8,6,9,6
,7.5,8.9,6,7.5,6.3
,6,8.6,7,8.5,6.8
,,,7.6,10,6.5
,,,8,9.2,6.8
,,,6,9.2,6.5
,,,7.8,,6.1
,,,7.6,,7
,,,7.2,,6.5
,,,8.8,,7
,,,,,7
,,,,,7.5
,,,,,7
,,,,,7.5
