Control,DSS,LF82A,LF82A+DSS,LF82N,LF82N+DSS
77.81895,144.9125,226.9913,458.5832,40.35556,440.1921
597.8789,698.3489,57.38437,377.8666,49.21054,410.9025
50.57285,204.5133,71.68858,20.60214,65.5582,209.9625
92.12315,191.2309,84.63048,536.2346,60.10899,192.2526
98.25352,132.3112,63.51475,582.2124,62.49302,348.5771
78.5001,224.6073,127.5431,335.9757,45.80478,243.339
94.90878,167.0499,287.4479,206.2162,162.963,190.2091
130.2878,132.4539,114.8847,395.236,256.8823,406.8156
82.63441,219.3372,71.08207,266.1576,228.9641,505.5827
68.19398,,192.8631,463.3513,129.0845,568.9299
53.99422,,69.15668,519.8869,185.6428,485.1482
,,76.37689,383.6564,146.1723,537.5969
,,72.04476,291.5393,241.4792,715.3661
,,55.19759,1503.332,,546.6537
,,,250.6248,,1064.103
,,,168.7957,,489.3733
,,,211.1543,,486.4852
,,,212.839,,686.2445
,,,226.3167,,753.6332
,,,450.3841,,501.8883
,,,176.0159,,906.7018
,,,,,996.2325
